Date,Location,medium,Samples,Sampling_Notes,Water_temp,Plating_notes,Temp_incubation,P1_qty_sample,Image_24h_fluo_plate_one,P1_fluo_halo_colonies,P1_fluo_other,Plate_one_24h_image,P1_24h_big_blue,P1_24h_med_blue,P1_24h_green,P1_24h_turq,P1_24h_pink,P1_24h_other,Comments_p1_24h,Plate_one_48h_image,P1_48h_big_blue,P1_48h_med_blue,P1_48h_green,P1_48h_turq,P1_48h_pink,P1_48h_other,Comments_p1_48h,P2_qty_sample,Image_24h_fluo_plate_two,P2_fluo_halo_colonies,P2_fluo_other,Plate_two_24h_image,P2_24h_big_blue,P2_24h_med_blue,P2_24h_green,P2_24h_turq,P2_24h_pink,P2_24h_other,Comments_p2_24h,Plate_two_48h_image,P2_48h_big_blue,P2_48h_med_blue,P2_48h_green,P2_48h_turq,P2_48h_pink,P2_48h_other,Comments_p2_48h,P3_qty_sample,Image_24h_fluo_plate_three,p3_fluo_halo_colonies,p3_fluo_other,Plate_three_24h_image,P3_24h_big_blue,P3_24h_med_blue,P3_24h_green,P3_24h_turq,P3_24h_pink,P3_24h_other,Comments_p3_24h,Plate_three_48h_image,P3_48h_big_blue,P3_48h_med_blue,P3_48h_green,P3_48h_turq,P3_48h_pink,P3_48h_other,Comments_p3_48h,latitude,longitude,Location_Image
19.06.17,SVT,easy_gel,3,No comments,23,No comments,37,4,14979655380302062778765-15_32_39.jpg,0,0,1497961937685321128918-14_33_19.jpg,0,0,0,0,0,0,No comments,image-15_57_9.jpg,0,0,0,0,0,0,No comments,4,1497965633183191934522-15_34_12.jpg,0,0,1497962360070409900649-14_39_50.jpg,0,0,0,0,0,0,No comments,image-15_58_32.jpg,0,0,0,0,0,0,No comments,4,14979656735411911867533-15_35_23.jpg,0,0,1497962403714801123156-14_41_4.jpg,0,0,0,0,0,0,No comments,image-15_59_20.jpg,0,0,0,0,0,0,No comments,46.438233,6.9055052,20170612_111355-16_31_48.jpg
26.06.17,VNX,easy_gel,3,No comments,23,No comments,37,4,VNX1-16_44_47.JPG,3,0,VNX1-16_44_56.JPG,2,0,0,0,0,0,No comments,vnx26june48h-18_5_27.JPG,2,9,0,0,3,0,No comments,4,VNX2-16_46_30.JPG,1,0,VNX2-16_46_39.JPG,1,0,0,0,0,0,No comments,vnx2-18_5_36.JPG,1,2,0,0,1,0,No comments,4,VNX3-16_46_50.JPG,1,0,VNX3-16_47_2.JPG,1,0,0,0,1,0,No comments,vnx3-18_5_42.JPG,3,10,0,0,6,0,No comments,46.440609,6.900522,1498473131175.jpg
26.06.17,Echandens,easy_gel,1,No comments,18,plate one is Easy Gel ,37,4,Filter-16_55_45.JPG,0,0,filter-16_55_53.JPG,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,none,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,"Plate two is non selective ""UNIL"" Kitchen",4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.534677,6.5396,none
26.06.17,SVT,easy_gel,3,No comments,24,No comments,37,4,SVT1-16_27_6.JPG,0,0,SVT1-16_27_26.JPG,0,0,0,0,0,0,No comments,svt1-18_4_0.JPG,0,2,0,0,0,0,No comments,4,SVT2-16_27_52.JPG,0,0,SVT2-16_28_0.JPG,0,0,0,0,0,0,No comments,svt2-18_4_15.JPG,0,2,0,0,1,0,No comments,4,SVT3-16_28_17.JPG,0,0,SVT3-16_28_27.JPG,0,0,0,0,0,0,No comments,svt3-18_4_24.JPG,0,0,0,0,0,0,No comments,46.4381748,6.90510504,1498473715032.jpg
26.06.17,MRD,easy_gel,3,No comments,23,No comments,37,4,MRD1-16_37_20.JPG,0,0,MRD1-16_37_32.JPG,3,5,0,0,3,,No comments,mrd1-18_2_58.JPG,6,25,0,0,9,0,No comments,4,MRD2-16_38_3.JPG,2,0,MRD2-16_38_18.JPG,2,6,0,4,7,0,No comments,mrd2-18_3_12.JPG,8,26,0,4,9,0,No comments,4,MRD3-16_38_43.JPG,2,0,MRD3-16_38_54.JPG,1,2,0,0,2,0,No comments,mrd3-18_3_21.JPG,5,12,0,0,3,0,No comments,46.4317977,6.90900768,1498474343613.jpg
26.06.17,Echandens,easy_gel,1,No comments,18, Plate one is easygel ,37,0.5,Cplus-16_50_50.JPG,25,0,Cplus-16_50_59.JPG,28,35,0,0,15,0,No comments,none,0,0,0,0,0,0,No comments,none,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,none,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.535602,6.552227,none
26.06.17,Hackuarium tap,easy_gel,1,No comments,18,Plate one is Gel ,37,4,Cminus-16_53_31.JPG,0,0,Cminus-16_53_39.JPG,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,none,none,0,0,none,0,0,0,0,0,0,"Plate two is: Non selective ""UNIL Kitchen""",none,0,0,0,0,0,0,none,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.532964,6.591603,none
03.07.17,Echandens,easy_gel,1,No comments,18,No comments,37,4,VenogesUV-18_55_14.JPG,7,0,VenogesEasyGel-18_55_22.JPG,7,9,0,2,7,0,No comments,VenogesEG-22_58_9.JPG,8,20,0,2,2,0,No comments,4,none,0,0,VenogesNA-18_55_56.JPG,0,0,0,0,0,0,No comments,VenogesNA-22_58_32.JPG,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.535602,6.552227,none
03.07.17,MRD,easy_gel,3,No comments,22,No comments,37,4,MRD1UV-18_39_4.JPG,10,0,MRD1-18_39_25.JPG,10,5,0,0,1,0,No comments,MRD1-22_12_32.JPG,10,12,0,0,0,0,No comments,4,MRD2UV-18_39_49.JPG,10,0,MRD2-18_40_0.JPG,10,9,0,0,3,0,No comments,MRD2-22_12_51.JPG,10,7,0,0,0,0,No comments,4,MRD3UV-18_40_32.JPG,11,0,MRD3-18_40_40.JPG,11,3,0,0,0,0,No comments,MRD3-22_12_59.JPG,11,6,0,0,1,0,No comments,46.43162844,6.90896942,1499074054252.jpg
03.07.17,SVT,easy_gel,3,No comments,22,No comments,37,4,SVT1UV-18_41_58.JPG,1,0,SVT1-18_42_10.JPG,1,6,0,0,0,0,No comments,SVT1-22_15_18.JPG,4,8,0,0,0,0,No comments,4,SVT2UV-18_42_27.JPG,7,0,SVT2-18_42_56.JPG,7,4,0,0,2,0,No comments,SVT2-22_15_26.JPG,8,5,0,0,3,0,No comments,4,SVT3UV-18_43_9.JPG,3,0,SVT3-18_43_20.JPG,3,0,0,0,0,0,No comments,SVT3-22_15_34.JPG,3,0,0,0,1,0,No comments,46.43823062,6.90508685,1499073302272.jpg
