12.06.17,5.3
13.06.17,2.6
14.06.17,6.5
15.06.17,3.7
16.06.17,1.5
17.06.17,0
18.06.17,0
19.06.17,1.2
20.06.17,1.9
21.06.17,5.3
22.06.17,3
23.06.17,5.7
24.06.17,9.8
25.06.17,8
26.06.17,4.5
27.06.17,6.9
28.06.17,19.3
29.06.17,6.3
30.06.17,2.2
01.07.17,5.6
02.07.17,2.3
03.07.17,0.3
04.07.17,0.2
05.07.17,0.3
06.07.17,0.2
07.07.17,1
08.07.17,6.3
09.07.17,8.3
10.07.17,7.4
11.07.17,2.1
12.07.17,2.9
13.07.17,0.8
14.07.17,2.8
15.07.17,0.3
16.07.17,0
17.07.17,1.5
18.07.17,10.6
19.07.17,5
20.07.17,6.4
21.07.17,13.2
22.07.17,4.2
23.07.17,3.9
24.07.17,11
25.07.17,10.5
26.07.17,3.4
27.07.17,2
28.07.17,0.8
29.07.17,3.8
30.07.17,1.7
31.07.17,4.1
